,fans,pumps,heating,cooling,interior_lights,exterior_lights,water_systems,interior_equipment,heat_rejection
2012-01-01 01:00:00-05:00,160.364578247,0.151638507843,304.081848145,2.73307228088,476.111297607,94.7666549683,59.1723251343,1484.99829102,0.0
2012-01-01 02:00:00-05:00,177.926620483,0.158054307103,371.864654541,1.10340464115,414.701385498,82.6056365967,45.530456543,1265.51550293,0.0
2012-01-01 03:00:00-05:00,197.443786621,0.159635469317,448.107269287,0.402813374996,204.481948853,40.7730636597,32.3359794617,1049.75061035,0.0
2012-01-01 04:00:00-05:00,84.7169036865,0.047747772187,30.4118309021,5.63838005066,101.604164124,19.9714260101,8.98798465729,860.828674316,0.0
2012-01-01 05:00:00-05:00,74.6128540039,0.0678737536073,51.8379859924,1.96526396275,60.7224273682,12.4259195328,7.622174263,791.675598145,0.0
2012-01-01 06:00:00-05:00,69.3037109375,0.0855587646365,74.4127197266,1.07715964317,40.6193275452,8.31576442719,6.78152179718,776.071838379,0.0
2012-01-01 07:00:00-05:00,69.4936141968,0.095572784543,97.7881164551,0.628420591354,40.6193275452,8.31576442719,4.81395339966,755.017944336,0.0
2012-01-01 08:00:00-05:00,72.248550415,0.10238879174,121.053222656,0.515605032444,44.944355011,9.33310413361,8.00836277008,717.047363281,0.0
2012-01-01 09:00:00-05:00,74.7972412109,0.110448919237,133.218917847,2.16283106804,123.98916626,24.9392738342,28.071023941,786.804870605,0.0
2012-01-01 10:00:00-05:00,73.7396316528,0.0988277718425,119.907783508,5.64561510086,290.952514648,58.0076522827,66.8749542236,951.33770752,0.0
2012-01-01 11:00:00-05:00,68.4738006592,0.0701579600573,70.1967849731,10.7267627716,367.818969727,73.1778182983,92.891708374,1092.97595215,0.0
2012-01-01 12:00:00-05:00,77.1077728271,0.0234372392297,19.2340583801,31.579990387,391.002380371,78.266998291,80.7101898193,989.772399902,0.0
2012-01-01 13:00:00-05:00,142.56817627,0.00153468979988,3.19581675529,128.444610596,401.994598389,80.29712677,75.8430328369,901.181152344,0.0
2012-01-01 14:00:00-05:00,223.072692871,0.000487090554088,1.11405229568,313.822784424,390.88192749,78.2669143677,73.0011138916,923.481628418,0.0
2012-01-01 15:00:00-05:00,281.038909912,0.000315491750371,0.520023822784,553.086242676,375.924865723,75.1754608154,57.7887954712,948.951904297,0.0
2012-01-01 16:00:00-05:00,327.255554199,0.000195186046767,0.356850534678,795.434143066,364.88470459,72.4151229858,48.5492668152,927.98614502,0.0
2012-01-01 17:00:00-05:00,366.577178955,0.000585558125749,0.318292230368,993.511352539,361.821380615,72.1489028931,39.0432052612,938.073242188,0.0
2012-01-01 18:00:00-05:00,396.519622803,0.000585558125749,0.351634174585,1115.92700195,366.04473877,73.1702423096,33.5703659058,965.246948242,0.0
2012-01-01 19:00:00-05:00,385.856445312,0.000585558125749,0.381942242384,1015.08929443,393.509674072,78.4488754272,30.6175136566,961.308105469,0.0
2012-01-01 20:00:00-05:00,337.786224365,0.000195186046767,0.309645533562,750.831359863,473.277770996,94.110786438,39.6038208008,1117.99938965,0.0
2012-01-01 21:00:00-05:00,288.565612793,0.000268374278676,0.224544420838,507.145019531,625.728149414,124.745933533,46.972202301,1402.98352051,0.0
2012-01-01 22:00:00-05:00,258.878692627,0.000482787581859,0.356937199831,366.07635498,785.335083008,156.730987549,72.5646438599,1524.31408691,0.0
2012-01-01 23:00:00-05:00,223.721160889,0.000492175866384,0.809235930443,240.696014404,822.951965332,164.033843994,72.9917678833,1537.56176758,0.0
